index,annot1,annot2
train_04_196_934,Causal,Uncausal
train_02_140_1060,Countercausal,Countercausal
train_06_115_2385,Causal,Causal
train_09_A_152_1377,Uncausal,Uncausal
train_01_305_495,Countercausal,Countercausal
train_01_15_1134,Causal,Uncausal
train_01_120_1954,Countercausal,Countercausal
train_08_75_3355,Countercausal,Countercausal
train_08_35_3223,Countercausal,Countercausal
train_09_B_131_2939,Countercausal,Countercausal
train_09_A_148_1694,Causal,Causal
train_09_A_12_513,Causal,Causal
train_05_139_2018,Causal,Uncausal
train_06_22_464,Uncausal,Uncausal
train_09_B_84_1374,Causal,Uncausal
train_03_228_1286,Uncausal,Uncausal
train_01_122_1324,Countercausal,Countercausal
train_08_192_3398,Countercausal,Countercausal
train_06_6_1934,Uncausal,Uncausal
train_05_42_2919,Causal,Uncausal
train_06_292_1861,Uncausal,Uncausal
train_06_143_1056,Uncausal,Uncausal
train_01_224_2732,Countercausal,Countercausal
train_04_296_2292,Uncausal,Uncausal
train_05_228_2570,Countercausal,Countercausal
train_09_B_109_1856,Uncausal,Uncausal
train_02_162_2030,Causal,Causal
train_08_187_222,Uncausal,Uncausal
train_06_130_1181,Countercausal,Countercausal
train_08_213_1947,Causal,Causal
train_07_222_204,Countercausal,Countercausal
train_04_250_3371,Countercausal,Countercausal
train_09_A_21_396,Uncausal,Uncausal
train_04_300_1019,Uncausal,Uncausal
train_02_12_1886,Countercausal,Countercausal
train_06_194_3413,Countercausal,Countercausal
train_04_211_2836,Uncausal,Uncausal
train_09_B_150_1900,Countercausal,Countercausal
train_07_48_1401,Countercausal,Countercausal
train_06_277_3289,Causal,Uncausal
train_03_168_3242,Causal,Causal
train_09_A_127_1275,Causal,Causal
train_08_110_1733,Causal,Causal
train_02_91_1337,Causal,Causal
train_01_99_2048,Causal,Uncausal
train_06_155_2201,Countercausal,Countercausal
train_04_143_2685,Causal,Causal
train_09_B_39_306,Causal,Causal
train_05_65_2308,Causal,Causal
train_03_266_1293,Causal,Causal
train_04_281_423,Causal,Uncausal
train_09_B_64_1888,Causal,Uncausal
train_05_175_3296,Causal,Uncausal
train_08_33_1646,Uncausal,Causal
train_03_258_2535,Causal,Causal
train_04_220_2165,Causal,Causal
train_02_323_672,Causal,Causal
train_06_160_2061,Causal,Uncausal
train_04_232_2890,Countercausal,Countercausal
train_01_24_2580,Causal,Causal
